,Sat_mean,Sat_SD,Field_mean,Field_SD,Sat_SD/mean (%),Field_SD/mean (%),Sat/Field
Band1,0.027556985294117646,0.00032902891847906275,0.02294701724134264,0.003844694253910675,1.1939946077820702,16.754657973515865,1.200896177672688
Band2,0.03226470588235294,0.002113247062884254,0.03195309053183878,0.005653856272406124,6.5497174237068965,17.69423920597757,1.009752275768244
Band3,0.06638860294117647,0.0033249915242691878,0.06866029544130979,0.009270715395775777,5.008377005937739,13.502294646693302,0.9669140296363109
Band4,0.04264926470588235,0.0048160042066183965,0.043743373721287095,0.011598956554481725,11.292115444030514,26.51591673834992,0.9749880056719925
Band5,0.11674522058823529,0.005515477482784744,0.11636923751409559,0.01725588939017066,4.724371117716276,14.82856617332436,1.0032309490220228
Band6,0.33120625,0.010231101547667118,0.32289206242018953,0.02909289172492598,3.0890424162186307,9.010098144520656,1.025749123460926
Band7,0.42590183823529415,0.014946850578269869,0.43756942517190983,0.04212031515278434,3.509459043473843,9.625973098151531,0.973335461151035
Band8,0.4698033088235294,0.020760584386083327,0.4702305873035586,0.043510841463254894,4.418994927488166,9.253086174755015,0.9990913426485517
Band8a,0.4890801470588235,0.01719692097890911,0.48733343588711364,0.04429133347475835,3.5161764553981727,9.088507008375686,1.0035842218963085
Band11,0.17007757352941175,0.008007077108291316,0.16593322382356068,0.020254880328112512,4.707897074335107,12.206645457361713,1.0249760090857862
Band12,0.07276911764705883,0.003450405234211891,0.07440084155321963,0.009918955938865942,4.741579045862388,13.331779226947075,0.9780684751395774
